Generation	Pokedex#	Name	Category	Types	Abilities	MaleRatio	FemaleRatio	Height	Weight	EggGroups	HP	Attack	Defense	Sp.Attack	Sp.Defense	Speed	Movesets
1	1	Bulbasaur	Seed Pokémon	[Grass, Poison]	[Chlorophyll, Overgrow]	87.5%	12.5%	0.7 m	6.9 kg	[Monster, Grass]	45	49	49	65	65	45	0
1	2	Ivysaur	Seed Pokémon	[Grass, Poison]	[Chlorophyll, Overgrow]	87.5%	12.5%	1.0 m	13.0 kg	[Monster, Grass]	60	62	63	80	80	60	0
6	3	Mega Venusaur	Seed Pokémon	[Grass, Poison]	[Thick Fat]	87.5%	12.5%	2.0 m	100.0 kg	[Monster, Grass]	80	100	123	122	120	80	0
1	3	Venusaur	Seed Pokémon	[Grass, Poison]	[Chlorophyll, Overgrow]	87.5%	12.5%	2.0 m	100.0 kg	[Monster, Grass]	80	82	83	100	100	80	0
1	4	Charmander	Lizard Pokémon	[Fire, Unknown]	[Blaze, Solar Power]	87.5%	12.5%	0.6 m	8.5 kg	[Monster, Dragon]	39	52	43	60	50	65	0
1	5	Charmeleon	Flame Pokémon	[Fire, Unknown]	[Blaze, Solar Power]	87.5%	12.5%	1.1 m	19.0 kg	[Monster, Dragon]	58	64	58	80	65	80	0
6	6	Mega Charizard Y	Flame Pokémon	[Fire, Flying]	[Drought]	87.5%	12.5%	1.7 m	90.5 kg	[Monster, Dragon]	78	104	78	159	115	100	0
6	6	Mega Charizard X	Flame Pokémon	[Fire, Dragon]	[Tough Claws]	87.5%	12.5%	1.7 m	90.5 kg	[Monster, Dragon]	78	130	111	130	85	100	0
1	6	Charizard	Flame Pokémon	[Fire, Flying]	[Blaze, Solar Power]	87.5%	12.5%	1.7 m	90.5 kg	[Monster, Dragon]	78	84	78	109	85	100	0
1	7	Squirtle	Tiny Turtle Pokémon	[Water, Unknown]	[Torrent, Rain Dish]	87.5%	12.5%	0.5 m	9.0 kg	[Monster, Water 1]	44	48	65	50	64	43	0
1	8	Wartortle	Turtle Pokémon	[Water, Unknown]	[Torrent, Rain Dish]	87.5%	12.5%	1.0 m	22.5 kg	[Monster, Water 1]	59	63	80	65	80	58	0
1	9	Blastoise	Shellfish Pokémon	[Water, Unknown]	[Torrent, Rain Dish]	87.5%	12.5%	1.6 m	85.5 kg	[Monster, Water 1]	79	83	100	85	105	78	0
6	9	Mega Blastoise	Shellfish Pokémon	[Water, Unknown]	[Mega Launcher]	87.5%	12.5%	1.6 m	85.5 kg	[Monster, Water 1]	79	103	120	135	115	78	0
1	10	Caterpie	Worm Pokémon	[Bug, Unknown]	[Run Away, Shield Dust]	50%	50%	0.3 m	2.9 kg	[Bug]	45	30	35	20	20	45	0
1	11	Metapod	Cocoon Pokémon	[Bug, Unknown]	[Shed Skin]	50%	50%	0.7 m	9.9 kg	[Bug]	50	20	55	25	25	30	0
