Generation	Pokedex#	Name	Category	Type 1	Type 2	Ability 1	Ability 2	Ability 3	MaleRatio	FemaleRatio	Height (m)	Weight (kg)	EggGroup 1	EggGroup 2	HP	Attack	Defense	Sp.Attack	Sp.Defense	Speed	Total	Group
1	1	Bulbasaur	Seed Pokemon	Grass	Poison	Chlorophyll	Overgrow	None	87.5	12.5	0.7	6.9	Monster	Grass	45	49	49	65	65	45	318	Ordinary
1	2	Ivysaur	Seed Pokemon	Grass	Poison	Chlorophyll	Overgrow	None	87.5	12.5	1.0	13.0	Monster	Grass	60	62	63	80	80	60	405	Ordinary
6	3	Mega Venusaur	Seed Pokemon	Grass	Poison	Thick Fat	None	None	87.5	12.5	2.0	100.0	Monster	Grass	80	100	123	122	120	80	625	Ordinary
1	3	Venusaur	Seed Pokemon	Grass	Poison	Chlorophyll	Overgrow	None	87.5	12.5	2.0	100.0	Monster	Grass	80	82	83	100	100	80	525	Ordinary
1	4	Charmander	Lizard Pokemon	Fire	None	Blaze	Solar Power	None	87.5	12.5	0.6	8.5	Monster	Dragon	39	52	43	60	50	65	309	Ordinary
1	5	Charmeleon	Flame Pokemon	Fire	None	Blaze	Solar Power	None	87.5	12.5	1.1	19.0	Monster	Dragon	58	64	58	80	65	80	405	Ordinary
6	6	Mega Charizard Y	Flame Pokemon	Fire	Flying	Drought	None	None	87.5	12.5	1.7	90.5	Monster	Dragon	78	104	78	159	115	100	634	Ordinary
6	6	Mega Charizard X	Flame Pokemon	Fire	Dragon	Tough Claws	None	None	87.5	12.5	1.7	90.5	Monster	Dragon	78	130	111	130	85	100	634	Ordinary
1	6	Charizard	Flame Pokemon	Fire	Flying	Blaze	Solar Power	None	87.5	12.5	1.7	90.5	Monster	Dragon	78	84	78	109	85	100	534	Ordinary
1	7	Squirtle	Tiny Turtle Pokemon	Water	None	Torrent	Rain Dish	None	87.5	12.5	0.5	9.0	Monster	Water 1	44	48	65	50	64	43	314	Ordinary
1	8	Wartortle	Turtle Pokemon	Water	None	Torrent	Rain Dish	None	87.5	12.5	1.0	22.5	Monster	Water 1	59	63	80	65	80	58	405	Ordinary
1	9	Blastoise	Shellfish Pokemon	Water	None	Torrent	Rain Dish	None	87.5	12.5	1.6	85.5	Monster	Water 1	79	83	100	85	105	78	530	Ordinary
6	9	Mega Blastoise	Shellfish Pokemon	Water	None	Mega Launcher	None	None	87.5	12.5	1.6	85.5	Monster	Water 1	79	103	120	135	115	78	630	Ordinary
1	10	Caterpie	Worm Pokemon	Bug	None	Run Away	Shield Dust	None	50	50	0.3	2.9	Bug	None	45	30	35	20	20	45	195	Ordinary
1	11	Metapod	Cocoon Pokemon	Bug	None	Shed Skin	None	None	50	50	0.7	9.9	Bug	None	50	20	55	25	25	30	205	Ordinary
1	12	Butterfree	Butterfly Pokemon	Bug	Flying	Compound Eyes	Tinted Lens	None	50	50	1.1	32.0	Bug	None	60	45	50	90	80	70	395	Ordinary
1	13	Weedle	Hairy Bug Pokemon	Bug	Poison	Run Away	Shield Dust	None	50	50	0.3	3.2	Bug	None	40	35	30	20	20	50	195	Ordinary
1	14	Kakuna	Cocoon Pokemon	Bug	Poison	Shed Skin	None	None	50	50	0.6	10.0	Bug	None	45	25	50	25	25	35	205	Ordinary
6	15	Mega Beedrill	Poison Bee Pokemon	Bug	Poison	Adaptability	None	None	50	50	1.0	29.5	Bug	None	65	150	40	15	80	145	495	Ordinary
1	15	Beedrill	Poison Bee Pokemon	Bug	Poison	Swarm	Sniper	None	50	50	1.0	29.5	Bug	None	65	150	40	15	80	145	495	Ordinary
1	16	Pidgey	Tiny Bird Pokemon	Normal	Flying	Keen Eye	Big Pecks	Tangled Feet	50	50	0.3	1.8	Flying	None	40	45	40	35	35	56	251	Ordinary
1	17	Pidgeotto	Bird Pokemon	Normal	Flying	Keen Eye	Big Pecks	Tangled Feet	50	50	1.1	30.0	Flying	None	63	60	55	50	50	71	349	Ordinary
6	18	Mega Pidgeot	Bird Pokemon	Normal	Flying	No Guard	None	None	50	50	1.5	39.5	Flying	None	83	80	80	135	80	121	579	Ordinary
1	18	Pidgeot	Bird Pokemon	Normal	Flying	Keen Eye	Big Pecks	Tangled Feet	50	50	1.5	39.5	Flying	None	83	80	80	135	80	121	579	Ordinary
1	19	Rattata	Mouse Pokemon	Normal	None	Run Away	Hustle	Guts	50	50	0.3	3.5	Field	None	30	56	35	25	35	72	253	Ordinary
7	19	Alolan Rattata	Mouse Pokemon	Dark	Normal	Hustle	Thick Fat	Gluttony	50	50	0.3	3.5	Field	None	30	56	35	25	35	72	253	Ordinary
1	20	Raticate	Mouse Pokemon	Normal	None	Run Away	Hustle	Guts	50	50	0.7	18.5	Field	None	55	81	60	50	70	97	413	Ordinary
7	20	Alolan Raticate	Mouse Pokemon	Dark	Normal	Hustle	Thick Fat	Gluttony	50	50	0.7	18.5	Field	None	75	71	70	40	80	77	413	Ordinary
1	21	Spearow	Tiny Bird Pokemon	Normal	Flying	Keen Eye	Sniper	None	50	50	0.3	2.0	Flying	None	40	60	30	31	31	70	262	Ordinary
1	22	Fearow	Beak Pokemon	Normal	Flying	Keen Eye	Sniper	None	50	50	1.2	38.0	Flying	None	65	90	65	61	61	100	442	Ordinary
1	23	Ekans	Snake Pokemon	Poison	None	Intimidate	Unnerve	Shed Skin	50	50	2.0	6.9	Field	Dragon	35	60	44	40	54	55	288	Ordinary
1	24	Arbok	Cobra Pokemon	Poison	None	Intimidate	Unnerve	Shed Skin	50	50	3.5	65.0	Field	Dragon	60	95	69	65	79	80	448	Ordinary
1	25	Pikachu	Mouse Pokemon	Electric	None	Static	Lightning Rod	None	50	50	0.4	6.0	Field	Fairy	35	55	40	50	50	90	320	Ordinary
1	25	Cosplay Pikachu	Mouse Pokemon	Electric	None	Lightning Rod	None	None	50	50	0.4	6.0	Field	Fairy	35	55	40	50	50	90	320	Ordinary
1	25	Cap Pikachu	Mouse Pokemon	Electric	None	Static	Lightning Rod	None	50	50	0.4	6.0	Field	Fairy	35	55	40	50	50	90	320	Ordinary
1	26	Raichu	Mouse Pokemon	Electric	None	Static	Lightning Rod	None	50	50	0.8	30.0	Field	Fairy	60	85	50	95	85	110	485	Ordinary
7	26	Alolan Raichu	Mouse Pokemon	Electric	Psychic	Surge Surfer	None	None	50	50	0.8	30.0	Field	Fairy	60	85	50	95	85	110	485	Ordinary
1	27	Sandshrew	Mouse Pokemon	Ground	None	Sand Veil	Sand Rush	None	50	50	0.6	12.0	Field	None	50	75	85	20	30	40	300	Ordinary
7	27	Alolan Sandshrew	Mouse Pokemon	Ice	Steel	Slush Rush	Snow Cloak	None	50	50	0.6	12.0	Field	None	50	75	90	10	35	40	300	Ordinary
1	28	Sandslash	Mouse Pokemon	Ground	None	Sand Veil	Sand Rush	None	50	50	1.0	29.5	Field	None	75	100	110	45	55	65	450	Ordinary
7	28	Alolan Sandslash	Mouse Pokemon	Ice	Steel	Slush Rush	Snow Cloak	None	50	50	1.0	29.5	Field	None	75	100	120	25	65	65	450	Ordinary
1	29	Nidoran (Female)	Poison Pin Pokemon	Poison	None	Hustle	Poison Point	Rivalry	0	100	0.4	7.0	Field	Monster	55	47	52	40	40	41	275	Ordinary
1	30	Nidorina	Poison Pin Pokemon	Poison	None	Hustle	Poison Point	Rivalry	0	100	0.8	20.0	Undiscovered	None	70	62	67	55	55	56	365	Ordinary
1	31	Nidoqueen	Drill Pokemon	Poison	Ground	Poison Point	Rivalry	Sheer Force	0	100	1.3	60.0	Undiscovered	None	90	92	87	75	85	76	505	Ordinary
1	32	Nidoran (Male)	Poison Pin Pokemon	Poison	None	Hustle	Poison Point	Rivalry	100	0	0.5	9.0	Field	Monster	46	57	40	40	40	50	273	Ordinary
1	33	Nidorino	Poison Pin Pokemon	Poison	None	Hustle	Poison Point	Rivalry	100	0	0.9	19.5	Field	Monster	61	72	57	55	55	65	365	Ordinary
1	34	Nidoking	Drill Pokemon	Poison	Ground	Poison Point	Rivalry	Sheer Force	100	0	1.4	62.0	Field	Monster	81	102	77	85	75	85	505	Ordinary
1	35	Clefairy	Fairy Pokemon	Fairy	None	Cute Charm	Magic Guard	Friend Guard	25	75	0.6	7.5	Fairy	None	70	45	48	60	65	35	323	Ordinary
1	36	Clefable	Fairy Pokemon	Fairy	None	Unaware	Cute Charm	Magic Guard	25	75	1.3	40.0	Fairy	None	95	70	73	95	90	60	483	Ordinary
1	37	Vulpix	Fox Pokemon	Fire	None	Flash Fire	Drought	None	25	75	0.6	9.9	Field	None	38	41	40	50	65	65	299	Ordinary
7	37	Alolan Vulpix	Fox Pokemon	Ice	None	Snow Warning	Snow Cloak	None	25	75	0.6	9.9	Field	None	38	41	40	50	65	65	299	Ordinary
1	38	Ninetales	Fox Pokemon	Fire	None	Flash Fire	Drought	None	25	75	1.1	19.9	Field	None	73	76	75	81	100	100	505	Ordinary
7	38	Alolan Ninetales	Fox Pokemon	Ice	Fairy	Snow Warning	Snow Cloak	None	25	75	1.1	19.9	Field	None	73	67	75	81	100	109	505	Ordinary
1	39	Jigglypuff	Balloon Pokemon	Normal	Fairy	Competitive	Cute Charm	Friend Guard	25	75	0.5	5.5	Fairy	None	115	45	20	45	25	20	270	Ordinary
1	40	Wigglytuff	Balloon Pokemon	Normal	Fairy	Competitive	Cute Charm	Frisk	25	75	1.0	12.0	Fairy	None	140	70	45	85	50	45	435	Ordinary
1	41	Zubat	Bat Pokemon	Poison	Flying	Infiltrator	Inner Focus	None	50	50	0.8	7.5	Flying	None	40	45	35	30	40	55	245	Ordinary
1	42	Golbat	Bat Pokemon	Poison	Flying	Infiltrator	Inner Focus	None	50	50	1.6	55.0	Flying	None	75	80	70	65	75	90	455	Ordinary
1	43	Oddish	Weed Pokemon	Grass	Poison	Chlorophyll	Run Away	None	50	50	0.5	5.4	Grass	None	45	50	55	75	65	30	320	Ordinary
1	44	Gloom	Weed Pokemon	Grass	Poison	Chlorophyll	Stench	None	50	50	0.8	8.6	Grass	None	60	65	70	85	75	40	395	Ordinary
1	45	Vileplume	Flower Pokemon	Grass	Poison	Chlorophyll	Effect Spore	None	50	50	1.2	18.6	Grass	None	75	80	85	110	90	50	490	Ordinary
1	46	Paras	Mushroom Pokemon	Bug	Grass	Damp	Dry Skin	Effect Spore	50	50	0.3	5.4	Bug	Grass	35	70	55	45	55	25	285	Ordinary
1	47	Parasect	Mushroom Pokemon	Bug	Grass	Damp	Dry Skin	Effect Spore	50	50	1.0	29.5	Bug	Grass	60	95	80	60	80	30	405	Ordinary
1	48	Venonat	Insect Pokemon	Bug	Poison	Run Away	Compound Eyes	Tinted Lens	50	50	1.0	30.0	Bug	None	60	55	50	40	55	45	305	Ordinary
1	49	Venomoth	Poison Moth Pokemon	Bug	Poison	Shield Dust	Wonder Skin	Tinted Lens	50	50	1.5	12.5	Bug	None	70	65	60	90	75	90	450	Ordinary
1	50	Diglett	Mole Pokemon	Ground	None	Sand Veil	Arena Trap	Sand Force	50	50	0.2	0.8	Field	None	10	55	25	35	45	95	265	Ordinary
7	50	Alolan Diglett	Mole Pokemon	Ground	Steel	Sand Veil	Tangling Hair	None	50	50	0.2	0.8	Field	None	10	55	30	35	45	90	265	Ordinary
7	51	Alolan Dugtrio	Mole Pokemon	Ground	Steel	Sand Veil	Tangling Hair	None	50	50	0.7	33.3	Field	None	35	100	60	50	70	110	425	Ordinary
1	51	Dugtrio	Mole Pokemon	Ground	None	Sand Veil	Arena Trap	Sand Force	50	50	0.7	33.3	Field	None	35	100	60	50	70	110	425	Ordinary
7	52	Alolan Meowth	Scratch Cat Pokemon	Dark	None	Rattled	Technician	Pickup	50	50	0.4	4.2	Field	None	40	35	35	50	40	90	290	Ordinary
1	52	Meowth	Scratch Cat Pokemon	Normal	None	Technician	Pickup	Unnerve	50	50	0.4	4.2	Field	None	40	45	35	40	40	90	290	Ordinary
7	53	Alolan Persian	Classy Cat Pokemon	Dark	None	Rattled	Technician	Fur Coat	50	50	1.0	32.0	Field	None	65	60	60	75	65	115	440	Ordinary
1	53	Persian	Classy Cat Pokemon	Normal	None	Technician	Limber	Unnerve	50	50	1.0	32.0	Field	None	65	70	60	65	65	115	440	Ordinary
1	54	Psyduck	Duck Pokemon	Water	None	Damp	Cloud Nine	Swift Swim	50	50	0.8	19.6	Field	Water 1	50	52	48	65	50	55	320	Ordinary
1	55	Golduck	Duck Pokemon	Water	None	Damp	Cloud Nine	Swift Swim	50	50	1.7	76.6	Field	Water 1	80	82	78	95	80	85	500	Ordinary
1	56	Mankey	Pig Monkey Pokemon	Fighting	None	Vital Spirit	Anger Point	Defiant	50	50	0.5	28.0	Field	None	40	80	35	35	45	70	305	Ordinary
1	57	Primeape	Pig Monkey Pokemon	Fighting	None	Vital Spirit	Anger Point	Defiant	50	50	1.0	32.0	Field	None	65	105	60	60	70	95	455	Ordinary
1	58	Growlithe	Puppy Pokemon	Fire	None	Intimidate	Flash Fire	Justified	75	25	0.7	19.0	Field	None	55	70	45	70	50	60	350	Ordinary
1	59	Arcanine	Legendary Pokemon	Fire	None	Intimidate	Flash Fire	Justified	75	25	1.9	155.0	Field	None	90	110	80	100	80	95	555	Ordinary
1	60	Poliwag	Tadpole Pokemon	Water	None	Damp	Water Absorb	Swift Swim	50	50	0.6	12.4	Water 1	None	40	50	40	40	40	90	300	Ordinary
1	61	Poliwhirl	Tadpole Pokemon	Water	None	Damp	Water Absorb	Swift Swim	50	50	1.0	20.0	Water 1	None	65	65	65	50	50	90	385	Ordinary
1	62	Poliwrath	Tadpole Pokemon	Water	Fighting	Damp	Water Absorb	Swift Swim	50	50	1.3	54.0	Water 1	None	90	95	95	70	90	70	510	Ordinary
1	63	Abra	Psi Pokemon	Psychic	None	Magic Guard	Synchronize	Inner Focus	75	25	0.9	19.5	Human-Like	None	25	20	15	105	55	90	310	Ordinary
1	64	Kadabra	Psi Pokemon	Psychic	None	Magic Guard	Synchronize	Inner Focus	75	25	1.3	56.5	Human-Like	None	40	35	30	120	70	105	400	Ordinary
6	65	Mega Alakazam	Psi Pokemon	Psychic	None	Trace	None	None	75	25	1.5	48.0	Human-Like	None	55	50	65	175	105	150	600	Ordinary
